,time,content,anger,positivity
6, 2017-01-22 06:47," ""Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.""",0.2857142857142857,0.2857142857142857
13, 2017-01-25 06:17," ""I will be making my Supreme Court pick on Thursday of next week.Thank you!""",0.25,0.5
22, 2017-01-27 14:20," ""Statement on International Holocaust Remembrance Day:https://www.whitehouse.gov/the-press-office/2017/01/27/statement-president-international-holocaust-remembrance-day …""",0.15384615384615385,0.23076923076923078
25, 2017-01-28 07:08," ""Thr coverage about me in the @ nytimes and the @ washingtonpost gas been so false and angry that the times actually apologized to its.....""",0.5,0.0
26, 2017-01-29 07:00," ""Somebody with aptitude and conviction should buy the FAKE NEWS and failing @ nytimes and either run it correctly or let it fold with dignity!""",0.125,0.25
27, 2017-01-29 09:03," ""Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!""",0.2,0.4
33, 2017-01-30 07:43," ""I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)""",0.2,0.4
34, 2017-01-30 08:23," ""Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?""",0.4,0.0
35, 2017-01-30 18:45," ""The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.""",0.25,0.5
36, 2017-01-31 05:21," ""Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!""",0.1111111111111111,0.1111111111111111
37, 2017-01-31 05:27," ""When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!""",0.16666666666666666,0.6666666666666666
41, 2017-02-01 21:55," ""Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!""",0.16666666666666666,0.5
42, 2017-02-02 05:13," ""If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?""",0.125,0.25
45, 2017-02-02 05:34," ""Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!""",0.14285714285714285,0.2857142857142857
49, 2017-02-03 06:51," ""A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.""",0.3333333333333333,0.0
50, 2017-02-03 17:08," ""We must keep 'evil' out of our country!""",0.5,0.0
52, 2017-02-04 07:06," ""Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death & destruction!""",0.25,0.25
55, 2017-02-04 18:48," ""The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!""",0.14285714285714285,0.14285714285714285
56, 2017-02-05 14:39," ""Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!""",0.3333333333333333,0.0
60, 2017-02-06 20:33," ""The failing @ nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!""",0.2,0.2
63, 2017-02-08 09:51," ""My daughter Ivanka has been treated so unfairly by @ Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!""",0.2,0.2
67, 2017-02-09 07:26," ""Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....""",0.3333333333333333,0.16666666666666666
68, 2017-02-10 07:35," ""The failing @ nytimes does major FAKE NEWS China story saying 'Mr.Xi has not spoken to Mr. Trump since Nov.14.' We spoke at length yesterday!""",0.09090909090909091,0.09090909090909091
70, 2017-02-11 06:12," ""Our legal system is broken! '77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries.' (WT) SO DANGEROUS!""",0.1111111111111111,0.2222222222222222
75, 2017-02-13 06:19," ""Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!""",0.1111111111111111,0.0
81, 2017-02-14 22:28," ""The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?""",0.16666666666666666,0.3333333333333333
84, 2017-02-15 19:40," ""The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!""",0.2857142857142857,0.0
85, 2017-02-15 20:08," ""This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.""",0.16666666666666666,0.16666666666666666
86, 2017-02-15 20:19," ""Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia""",0.2,0.6000000000000001
87, 2017-02-15 20:28," ""Thank you to Eli Lake of The Bloomberg View - 'The NSA &amp; FBI...should not interfere in our politics...and is' Very serious situation for USA""",0.25,0.0
92, 2017-02-16 05:34," ""Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace  https://t.co/dmHL7xIEQv""",0.5,0.0
98, 2017-02-18 07:15," ""'One of the most effective press conferences I've ever seen!' says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest""",0.1111111111111111,0.2222222222222222
109, 2017-02-24 08:01," ""Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!""",0.2,0.0
112, 2017-02-24 20:36," ""find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW""",0.16666666666666666,0.16666666666666666
